name,score,us_modern_2010_plus,nyc_recent_2018_plus
Sophia,98808,85720,1636
Jacob,94275,79371,1863
Emma,92490,77746,1843
Isabella,91379,79251,1516
Noah,89375,68719,2582
Ethan,83762,68394,1921
Olivia,82909,69805,1638
Liam,82091,59091,2875
Mason,80144,70928,1152
Jayden,79752,68736,1377
Michael,76681,65449,1404
William,75275,67635,955
Alexander,73388,62372,1377
Ava,72533,61517,1377
Aiden,71924,59468,1557
Daniel,71266,59402,1483
Matthew,66883,55371,1439
David,64319,52039,1535
James,63447,53815,1204
Emily,62694,55134,945
Joseph,62528,51264,1408
Logan,62028,54092,992
Elijah,61920,55200,840
Anthony,61434,55010,803
Benjamin,61132,51596,1192
Mia,60117,47165,1619
Joshua,59928,53376,819
Abigail,58969,52401,821
Andrew,56621,51589,629
Lucas,56264,42864,1675
Christopher,55146,49810,667
Gabriel,55087,47871,902
Ryan,54879,45855,1128
Samuel,53938,45586,1044
Dylan,53846,42422,1428
Madison,52940,47420,690
Jackson,52567,49103,433
John,49937,43713,778
Chloe,49715,41043,1084
Nathan,48235,41851,798
Isaac,47118,38926,1024
Christian,45058,40634,553
Avery,44485,38917,696
Elizabeth,44140,39276,608
Caleb,44118,39862,532
Jonathan,43759,39087,584
Ella,43047,36967,760
Jack,40463,33103,920
Jordan,40404,37060,418
Landon,39697,38193,188
Carter,39550,36158,424
Luke,39489,35993,437
Nicholas,39243,32987,782
Angel,39142,35110,504
Sofia,38558,30526,1004
Owen,37871,33863,501
Aaron,37852,29796,1007
Henry,37786,30458,916
Evan,37481,33473,501
Riley,37337,32745,574
Tyler,36602,34010,324
Addison,36570,35890,85
Charlotte,36403,28451,994
Julian,36376,30016,795
Amelia,36136,27016,1140
Sebastian,36001,27081,1115
Isaiah,35947,32883,383
Hunter,35520,32144,422
Gavin,35480,34216,158
Grace,35480,29920,695
Leah,35124,24196,1366
Brayden,35018,33954,133
Natalie,34946,32690,282
Lily,34642,31002,455
Eli,34402,29682,590
Cameron,34263,31175,386
Adrian,34231,28735,687
Jeremiah,33773,29581,524
Hannah,33046,27982,633
Victoria,32864,27080,723
Wyatt,32717,31701,127
Charles,32580,27916,583
Brandon,32190,29510,335
